dropout_rate,learning_rate,shared_hidden_size,mean_cv_score
0.1,0.001,64,1.1016152943072675
0.1,0.001,32,1.1034169618775245
0.3,0.001,64,1.1034574654637552
0.1,0.0001,64,1.105179946033322
0.3,0.001,32,1.105685905534394
0.1,0.01,64,1.1059703867451673
0.1,0.01,16,1.1059985302743458
0.5,0.001,64,1.106120687763707
0.1,0.001,16,1.1061577063028505
0.1,0.01,32,1.107010040964399
0.3,0.0001,64,1.1071452510600188
0.1,0.0001,32,1.1075172550013275
0.5,0.001,32,1.1082248667470453
0.3,0.001,16,1.1084518225825564
0.3,0.0001,32,1.1091711626571863
0.5,0.0001,64,1.1103393163810782
0.1,0.0001,16,1.1106872822151705
0.3,0.01,32,1.1107383001418338
0.3,0.01,16,1.1118763859580163
0.3,0.0001,16,1.1124255965356113
0.3,0.01,64,1.1128067029576723
0.5,0.001,16,1.113321720742855
0.5,0.0001,32,1.1144444155855247
0.5,0.0001,16,1.1176501269243202
0.5,0.01,64,1.1196700517012148
0.5,0.01,32,1.1201852710068632
0.5,0.01,16,1.1223733510289875
