name,role,type,demographic,description,units,missing_values,new_col_name
class,Target,Categorical,,,,no,Y
top-left-square,Feature,Categorical,,,,no,X1
top-middle-square,Feature,Categorical,,,,no,X2
top-right-square,Feature,Categorical,,,,no,X3
middle-left-square,Feature,Categorical,,,,no,X4
middle-middle-square,Feature,Categorical,,,,no,X5
middle-right-square,Feature,Categorical,,,,no,X6
bottom-left-square,Feature,Categorical,,,,no,X7
bottom-middle-square,Feature,Categorical,,,,no,X8
bottom-right-square,Feature,Categorical,,,,no,X9
